text,label
Başımın bir tarafında şiddetli ve ani bir ağrı yaşıyorum.,cluster
Eklem bölgelerinde ağrı ve ateş hissediyorum.,rheumatic_fever
Yüksek ateş ve kızıl nedeniyle cildimde döküntüler var.,scarlet_fever
Şakaklarımda ve başımın arka kısmında basınç hissediyorum.,tension
Yüzümde ve alnımda baskı ve dolgunluk hissediyorum.,sinus
Boynumda ve omuzlarımda gerginlik hissediyorum.,tension
Ateş ve boğazda şiddetli ağrı yaşıyorum.,scarlet_fever
Tifo yüzünden halsiz ve yüksek ateşliyim.,typhoid
Gözümün etrafında yoğun bir ağrı hissediyorum.,cluster
Gözümde ve başımda aynı anda başlayan ani ağrılar yaşıyorum.,cluster
Yüksek ateş ve sarı humma belirtileri yaşıyorum.,yellow_fever
Karaciğer ağrısı ve yüksek ateş hissediyorum.,yellow_fever
Cildimde kızarıklık ve ateş hissediyorum.,scarlet_fever
Vücudum yanıyormuş gibi hissediyorum ve üşüyorum.,fever
Q ateşi yüzünden ateşim ve baş ağrım var.,q_fever
Bahar alerjisi nedeniyle yüksek ateş ve burun tıkanıklığı yaşıyorum.,hay_fever
Gözümde ve başımda aynı anda başlayan ani ağrılar yaşıyorum.,cluster
Alerji belirtileri ile birlikte ateş yaşıyorum.,hay_fever
Yüksek ateş ve karın bölgesinde şiddetli ağrı yaşıyorum.,typhoid
Şiddetli baş ağrısı ve mide bulantısı hissediyorum.,migraine
Şakaklarımda ve başımın arka kısmında basınç hissediyorum.,tension
Sarı humma nedeniyle ateş ve mide ağrısı çekiyorum.,yellow_fever
Yüksek ateş ve karın bölgesinde şiddetli ağrı yaşıyorum.,typhoid
Vücudum yanıyormuş gibi hissediyorum ve üşüyorum.,fever
Karaciğer ağrısı ve yüksek ateş hissediyorum.,yellow_fever
Alerjik reaksiyonlarla birlikte ateş ve hapşırma hissediyorum.,hay_fever
Sürekli terliyorum ve ateşim var.,fever
Ateşle birlikte kas ve eklem ağrıları çekiyorum.,fever
Vücudum yanıyormuş gibi hissediyorum ve üşüyorum.,fever
Sarı humma nedeniyle ateş ve mide ağrısı çekiyorum.,yellow_fever
Sarı humma yüzünden ateşim var ve cildim sararmış.,yellow_fever
Yüksek ateş ve karın bölgesinde şiddetli ağrı yaşıyorum.,typhoid
Göz çevremde ağrı ve göz yaşarması oluyor.,cluster
Şakaklarımda ve başımın arka kısmında basınç hissediyorum.,tension
Burun akıntısı ve yüzümde ağrı hissediyorum.,sinus
Şiddetli baş ağrısı ve mide bulantısı hissediyorum.,migraine
Burun tıkanıklığı ile birlikte baş ağrısı yaşıyorum.,sinus
Başımın bir tarafında zonklayan bir ağrı var ve ışığa hassasiyetim var.,migraine
Bahar alerjisi nedeniyle yüksek ateş ve burun tıkanıklığı yaşıyorum.,hay_fever
Q ateşi nedeniyle kas ağrıları ve ateş hissediyorum.,q_fever
Gözümün etrafında yoğun bir ağrı hissediyorum.,cluster
Gözümün arkasında zonklayıcı bir ağrı hissediyorum.,cluster
Karın bölgemde ağrı ve ateş hissediyorum.,typhoid
"Başım ağrıyor ve midem bulanıyor, ışığa bakamıyorum.",migraine
Yüksek ateşim var ve yemek yemek istemiyorum.,fever
Sarı humma belirtileriyle yüksek ateş ve baş ağrısı yaşıyorum.,yellow_fever
Q ateşi nedeniyle kas ağrıları ve ateş hissediyorum.,q_fever
Eklem bölgelerinde ağrı ve ateş hissediyorum.,rheumatic_fever
Ateş ve boğazda şiddetli ağrı yaşıyorum.,scarlet_fever
Yüksek ateş ve sarı humma belirtileri yaşıyorum.,yellow_fever
Romatizmal ateş nedeniyle göğüs ağrısı ve yüksek ateşim var.,rheumatic_fever
Boynumda ve omuzlarımda gerginlik hissediyorum.,tension
Yüzümde ve alnımda baskı ve dolgunluk hissediyorum.,sinus
Gözümün etrafında yoğun bir ağrı hissediyorum.,cluster
Başımın bir tarafında şiddetli ve ani bir ağrı yaşıyorum.,cluster
Bahar alerjisi nedeniyle yüksek ateş ve burun tıkanıklığı yaşıyorum.,hay_fever
Sarı humma yüzünden ateşim var ve cildim sararmış.,yellow_fever
"Çalışırken baş ağrım artıyor, sıkışma hissi yaşıyorum.",tension
Burun akıntısı ve yüzümde ağrı hissediyorum.,sinus
Sürekli terliyorum ve ateşim var.,fever
Yüksek ateş ve romatizmal ağrılar yaşıyorum.,rheumatic_fever
Yüksek ateş ve sarı humma belirtileri yaşıyorum.,yellow_fever
Romatizmal ateş belirtileriyle eklem ağrıları ve ateş hissediyorum.,rheumatic_fever
Şakaklarımda ve başımın arka kısmında basınç hissediyorum.,tension
Sarı humma nedeniyle ateş ve mide ağrısı çekiyorum.,yellow_fever
Başımın bir tarafında zonklayan bir ağrı var ve ışığa hassasiyetim var.,migraine
Yüksek ateş ve kas ağrıları yaşıyorum.,q_fever
Karın bölgemde ağrı ve ateş hissediyorum.,typhoid
